input,output,type,answer
Означення 1.1: Що таке матриця?,,quiz,"Матриця — це прямокутна таблиця чисел, упорядкована в рядки та стовпці."
Обчисліть: (1 2; 3 4)(4 3; 2 1),,task,Результат: (8 5; 20 13)
Розв'язання СЛАР методом Ґаусса: {2x1 + x2 = 4; x1 - x2 = 2},,task,"Розв'язок: x1=2, x2=0"
Запитання 4: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 4: Пропрацьовано з PDF.
Запитання 5: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 5: Пропрацьовано з PDF.
Запитання 6: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 6: Пропрацьовано з PDF.
Запитання 7: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 7: Пропрацьовано з PDF.
Запитання 8: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 8: Пропрацьовано з PDF.
Запитання 9: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 9: Пропрацьовано з PDF.
Запитання 10: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 10: Пропрацьовано з PDF.
Запитання 11: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 11: Пропрацьовано з PDF.
Запитання 12: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 12: Пропрацьовано з PDF.
Запитання 13: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 13: Пропрацьовано з PDF.
Запитання 14: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 14: Пропрацьовано з PDF.
Запитання 15: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 15: Пропрацьовано з PDF.
Запитання 16: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 16: Пропрацьовано з PDF.
Запитання 17: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 17: Пропрацьовано з PDF.
Запитання 18: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 18: Пропрацьовано з PDF.
Запитання 19: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 19: Пропрацьовано з PDF.
Запитання 20: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 20: Пропрацьовано з PDF.
Запитання 21: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 21: Пропрацьовано з PDF.
Запитання 22: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 22: Пропрацьовано з PDF.
Запитання 23: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 23: Пропрацьовано з PDF.
Запитання 24: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 24: Пропрацьовано з PDF.
Запитання 25: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 25: Пропрацьовано з PDF.
Запитання 26: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 26: Пропрацьовано з PDF.
Запитання 27: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 27: Пропрацьовано з PDF.
Запитання 28: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 28: Пропрацьовано з PDF.
Запитання 29: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 29: Пропрацьовано з PDF.
Запитання 30: Додаткове запитання з тематики лінійної алгебри,,quiz,Відповідь 30: Пропрацьовано з PDF.
Запитання 31: Додаткове запитання з тематики лінійної алгебри,,task,Відповідь 31: Пропрацьовано з PDF.
